id,stockid_i,stockid_j,date1,time1,lnA_B,lnA_BsubC,lnA_BaddC,close_1,close_2,pearson_,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
0,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,04:15,-0.00854676362662432,-0.008085391960501176,-0.00900792252709337,2.1495,2.16795,,,,,100,0.001,0.9,0,0,0,0
1,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,04:30,-0.009524234462096604,-0.009063086194759151,-0.009985170169727442,2.14844,2.169,,,,,100,0.001,0.9,0,0,0,0
2,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,04:45,-0.009147796196267044,-0.008686622408589972,-0.009608757400715762,2.14913,2.16888,,,,,100,0.001,0.9,0,0,0,0
3,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,05:00,-0.0083535328587665,-0.007892554654872042,-0.008814298659665876,2.15175,2.1698,,,,,100,0.001,0.9,0,0,0,0
4,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,05:15,-0.009552620912941845,-0.009091897569155294,-0.010013132088475984,2.15036,2.171,,,,,100,0.001,0.9,0,0,0,0
5,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,05:30,-0.009410506056153345,-0.008949910036771924,-0.009870890024507806,2.15126,2.1716,,,,,100,0.001,0.9,0,0,0,0
6,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,05:45,-0.007681714986218169,-0.007221182602652698,-0.008142035377332935,2.15528,2.1719,,,,,100,0.001,0.9,0,0,0,0
7,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,06:00,-0.006848234077163506,-0.006387612598531378,-0.007308643481331423,2.15666,2.17148,,,,,100,0.001,0.9,0,0,0,0
8,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,06:15,-0.007556199121066531,-0.007095963472294686,-0.008016223050422933,2.15694,2.1733,,,,,100,0.001,0.9,0,0,0,0
9,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,06:30,-0.008088078883627947,-0.007627661000230934,-0.008548284879950407,2.15494,2.17244,,,,,100,0.001,0.9,0,0,0,0
10,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,06:45,-0.008136718835398238,-0.0076764365821992975,-0.008596789326311138,2.15547,2.17308,,,,,100,0.001,0.9,0,0,0,0
11,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,07:00,-0.008058485797546311,-0.007598167525370458,-0.008518592274300074,2.15547,2.17291,,,,,100,0.001,0.9,0,0,0,0
12,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,07:15,-0.008001373163643022,-0.007541137514871177,-0.008461397092999423,2.15598,2.1733,,,,,100,0.001,0.9,0,0,0,0
13,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,07:30,-0.008108133798409578,-0.007647893913261705,-0.008568161960245346,2.15573,2.17328,,,,,100,0.001,0.9,0,0,0,0
14,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,07:45,-0.007732825224841866,-0.007272288599435739,-0.008193149853892967,2.15515,2.17188,,,,,100,0.001,0.9,0,0,0,0
15,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,08:00,-0.008329931912959943,-0.007869229794795873,-0.008790421882416077,2.15309,2.1711,,,,,100,0.001,0.9,0,0,0,0
16,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,08:15,-0.00902392521590567,-0.008563371622355431,-0.009484266797482599,2.15229,2.1718,,,,,100,0.001,0.9,0,0,0,0
17,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,08:30,-0.009805360462541102,-0.009344997688551127,-0.010265511400165184,2.1515,2.1727,,,,,100,0.001,0.9,0,0,0,0
18,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,08:45,-0.00940077428470587,-0.008940199479216981,-0.009861137058695846,2.15138,2.1717,,,,,100,0.001,0.9,0,0,0,0
19,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,09:00,-0.009408624949415967,-0.008948346933373208,-0.009868691207070679,2.15275,2.1731,,,,,100,0.001,0.9,0,0,0,0
20,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,09:15,-0.010219110930426267,-0.009758748156436292,-0.01067926186805035,2.15061,2.1727,,,,,100,0.001,0.9,0,0,0,0
21,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,09:30,-0.009601316924411574,-0.009140932956057113,-0.010061489036898963,2.15184,2.1726,,,,,100,0.001,0.9,0,0,0,0
22,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,09:45,-0.009735083792540289,-0.00927430949927932,-0.010195645870631487,2.14973,2.17076,,,,,100,0.001,0.9,0,0,0,0
23,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,10:00,-0.009711801425316469,-0.00925124783176623,-0.010172143006893397,2.15081,2.1718,,,,,100,0.001,0.9,0,0,0,0
24,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,10:15,-0.009094002515923738,-0.008632960552939384,-0.009554832017166559,2.14986,2.1695,,,,,100,0.001,0.9,0,0,0,0
25,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,10:30,-0.00963705690888661,-0.009176520283480483,-0.01009738153793771,2.15105,2.17188,,,,,100,0.001,0.9,0,0,0,0
26,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,10:45,-0.008837004273796079,-0.008376266070910021,-0.009297530294747003,2.15183,2.17093,,,,,100,0.001,0.9,0,0,0,0
27,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,11:00,-0.008478566564615764,-0.008017864446451695,-0.008939056534071899,2.15277,2.1711,,,,,100,0.001,0.9,0,0,0,0
28,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,11:15,-0.00835845103195787,-0.007897457952519837,-0.008819231694695562,2.15167,2.16973,,,,,100,0.001,0.9,0,0,0,0
29,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,11:30,-0.008311385563531726,-0.007850938000373286,-0.00877162121230357,2.15432,2.1723,,,,,100,0.001,0.9,0,0,0,0
30,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,11:45,-0.008560572196138594,-0.008100205183431908,-0.009020727368579506,2.15416,2.17268,,,,,100,0.001,0.9,0,0,0,0
31,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,12:00,-0.008524452428199547,-0.008064280315712158,-0.008984412879710635,2.15515,2.1736,,,,,100,0.001,0.9,0,0,0,0
32,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,12:15,-0.007545252807883984,-0.0070848370443235,-0.008005456686320578,2.15612,2.17245,,,,,100,0.001,0.9,0,0,0,0
33,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,12:30,-0.007013811436342721,-0.00655327905277725,-0.007474131827457486,2.15672,2.1719,,,,,100,0.001,0.9,0,0,0,0
34,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,12:45,-0.007299386839858868,-0.006838684721694799,-0.007759876809315003,2.15531,2.1711,,,,,100,0.001,0.9,0,0,0,0
35,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,13:00,-0.006883491378880002,-0.006422683113041949,-0.007344087398261423,2.15571,2.1706,,,,,100,0.001,0.9,0,0,0,0
36,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,13:15,-0.006960289860841629,-0.006499311656947171,-0.007421055661741005,2.15475,2.1698,,,,,100,0.001,0.9,0,0,0,0
37,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,13:30,-0.006632779960840329,-0.006171988681916929,-0.007093359008951361,2.15633,2.17068,,,,,100,0.001,0.9,0,0,0,0
38,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,13:45,-0.007630326172225588,-0.007169814996691448,-0.008090625374829186,2.15549,2.172,,,,,100,0.001,0.9,0,0,0,0
39,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,14:00,-0.007992627796242213,-0.0075320954126767425,-0.008452948187356979,2.15461,2.1719,,,,,100,0.001,0.9,0,0,0,0
40,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,14:15,-0.007620695381460152,-0.007160205412004017,-0.00808097339750291,2.15561,2.1721,,,,,100,0.001,0.9,0,0,0,0
41,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,14:30,-0.008141408220316837,-0.007681384290960436,-0.008601220624960382,2.15667,2.1743,,,,,100,0.001,0.9,0,0,0,0
42,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,14:45,-0.007437382706441564,-0.006977041124864636,-0.007897512471151003,2.1567,2.1728,,,,,100,0.001,0.9,0,0,0,0
43,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,15:00,-0.007760571099854285,-0.007300314268422037,-0.008220616192386232,2.1564,2.1732,,,,,100,0.001,0.9,0,0,0,0
44,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,15:15,-0.006771752991566071,-0.006310657882532156,-0.007232635589884295,2.15461,2.16925,,,,,100,0.001,0.9,0,0,0,0
45,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,15:30,-0.008153624251416858,-0.007693695532259626,-0.008613341533389773,2.15709,2.17475,,,,,100,0.001,0.9,0,0,0,0
46,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,15:45,-0.006113101862981973,-0.005654076732477198,-0.006571916386086674,2.16575,2.17903,,,,,100,0.001,0.9,0,0,0,0
47,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,16:00,-0.006174563197828831,-0.005715773934625745,-0.006633142069965348,2.16673,2.18015,,,,,100,0.001,0.9,0,0,0,0
48,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,16:15,-0.006074905468732239,-0.005615975135479401,-0.006533625281544886,2.16628,2.17948,,,,,100,0.001,0.9,0,0,0,0
49,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,16:30,-0.007227589114151223,-0.006769079628727637,-0.007685888464971535,2.16577,2.18148,,,,,100,0.001,0.9,0,0,0,0
50,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,16:45,-0.005791806396909904,-0.005332633726145897,-0.006250768324895906,2.16575,2.17833,,,,,100,0.001,0.9,0,0,0,0
51,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,17:00,-0.006208213005681862,-0.0057493247919738755,-0.006666890737580977,2.16619,2.17968,,,,,100,0.001,0.9,0,0,0,0
52,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,17:15,-0.006219878942931079,-0.005760811667742449,-0.006678735572053673,2.16532,2.17883,,,,,100,0.001,0.9,0,0,0,0
53,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,17:30,-0.00678212512760068,-0.006322524053235967,-0.007241515065852466,2.16159,2.1763,,,,,100,0.001,0.9,0,0,0,0
54,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,17:45,-0.006426621046647707,-0.005966973496290384,-0.006886057418198477,2.16214,2.17608,,,,,100,0.001,0.9,0,0,0,0
55,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,18:00,-0.00838298182812891,-0.007923946162178619,-0.008841806877013636,2.16079,2.17898,,,,,100,0.001,0.9,0,0,0,0
56,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,18:15,-0.009499607512939767,-0.009041207321552669,-0.009957797669867485,2.16137,2.182,,,,,100,0.001,0.9,0,0,0,0
57,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,18:30,-0.008678072374045609,-0.008219583910753392,-0.009136350721998698,2.16273,2.18158,,,,,100,0.001,0.9,0,0,0,0
58,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,18:45,-0.0066403537014675384,-0.006181596009230517,-0.007098901031585836,2.16587,2.1803,,,,,100,0.001,0.9,0,0,0,0
59,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,19:00,-0.007334911776864739,-0.0068760446200302194,-0.007793568471202383,2.16385,2.17978,,,,,100,0.001,0.9,0,0,0,0
60,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,19:15,-0.006431837791101347,-0.005972806339387349,-0.006890658629616131,2.16503,2.179,,,,,100,0.001,0.9,0,0,0,0
61,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,19:30,-0.007921563092726847,-0.007462721201589528,-0.008380194544537645,2.1627,2.1799,,,,,100,0.001,0.9,0,0,0,0
62,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,19:45,-0.008084528042703654,-0.007625622982105451,-0.008543222606041678,2.16205,2.1796,,,,,100,0.001,0.9,0,0,0,0
63,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,20:00,-0.008164176185608607,-0.0077049550166273795,-0.008623186567302099,2.16039,2.1781,,,,,100,0.001,0.9,0,0,0,0
64,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,20:15,-0.006694751467676174,-0.006235431161777494,-0.007153860895288355,2.1631,2.17763,,,,,100,0.001,0.9,0,0,0,0
65,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,20:30,-0.006176842723604303,-0.005717199398725725,-0.006636274873558223,2.1627,2.1761,,,,,100,0.001,0.9,0,0,0,0
66,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,20:45,-0.006260710416505333,-0.005801020607088425,-0.006720189008292299,2.1623,2.17588,,,,,100,0.001,0.9,0,0,0,0
67,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,21:00,-0.007520860665964801,-0.00706136518391054,-0.007980145108888781,2.16049,2.1768,,,,,100,0.001,0.9,0,0,0,0
68,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,21:15,-0.007497653187475639,-0.007037878836623768,-0.007957216243018372,2.15923,2.17548,,,,,100,0.001,0.9,0,0,0,0
69,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,21:30,-0.007770476848445895,-0.007311002479031714,-0.008229740198118396,2.16005,2.1769,,,,,100,0.001,0.9,0,0,0,0
70,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,21:45,-0.008183419673054804,-0.007723898853271294,-0.008642729430438423,2.15894,2.17668,,,,,100,0.001,0.9,0,0,0,0
71,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,22:00,-0.008173401835714245,-0.007713923243927279,-0.008632669403881965,2.15916,2.17688,,,,,100,0.001,0.9,0,0,0,0
72,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,22:15,-0.009344222814807623,-0.008884596391066646,-0.009803638079149857,2.15594,2.17618,,,,,100,0.001,0.9,0,0,0,0
73,GBPAUD15.csv,GBPSGD15.csv,2015.10.02,22:30,-0.00913636441341159,-0.008676463192086148,-0.009596054222828498,2.1551,2.17488,,,,,100,0.001,0.9,0,0,0,0
