id,stockid_i,date1,time1,lnA_B,close_1,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
66,GBPAUDpro,2016.02.12,15:15,2.03646,2.03646,,,,100,0.0005,0.9,0,0,0,0
67,GBPAUDpro,2016.02.12,15:20,2.03656,2.03656,,,,100,0.0005,0.9,0,0,0,0
68,GBPAUDpro,2016.02.12,15:25,2.03758,2.03758,,,,100,0.0005,0.9,0,0,0,0
69,GBPAUDpro,2016.02.12,15:30,2.03848,2.03848,,,,100,0.0005,0.9,0,0,0,0
70,GBPAUDpro,2016.02.12,15:35,2.03913,2.03913,,,,100,0.0005,0.9,0,0,0,0
71,GBPAUDpro,2016.02.12,15:40,2.04374,2.04374,,,,100,0.0005,0.9,0,0,0,0
72,GBPAUDpro,2016.02.12,15:45,2.04289,2.04289,,,,100,0.0005,0.9,0,0,0,0
73,GBPAUDpro,2016.02.12,15:50,2.04455,2.04455,,,,100,0.0005,0.9,0,0,0,0
74,GBPAUDpro,2016.02.12,15:55,2.04447,2.04447,,,,100,0.0005,0.9,0,0,0,0
75,GBPAUDpro,2016.02.12,16:00,2.04469,2.04469,,,,100,0.0005,0.9,0,0,0,0
76,GBPAUDpro,2016.02.12,16:05,2.0428,2.0428,,,,100,0.0005,0.9,0,0,0,0
77,GBPAUDpro,2016.02.12,16:10,2.04001,2.04001,,,,100,0.0005,0.9,0,0,0,0
78,GBPAUDpro,2016.02.12,16:15,2.03921,2.03921,,,,100,0.0005,0.9,0,0,0,0
79,GBPAUDpro,2016.02.12,16:20,2.03799,2.03799,,,,100,0.0005,0.9,0,0,0,0
80,GBPAUDpro,2016.02.12,16:25,2.03908,2.03908,,,,100,0.0005,0.9,0,0,0,0
81,GBPAUDpro,2016.02.12,16:30,2.03922,2.03922,,,,100,0.0005,0.9,0,0,0,0
82,GBPAUDpro,2016.02.12,16:35,2.04237,2.04237,,,,100,0.0005,0.9,0,0,0,0
83,GBPAUDpro,2016.02.12,16:40,2.04334,2.04334,,,,100,0.0005,0.9,0,0,0,0
84,GBPAUDpro,2016.02.12,16:45,2.04401,2.04401,,,,100,0.0005,0.9,0,0,0,0
85,GBPAUDpro,2016.02.12,16:50,2.04332,2.04332,,,,100,0.0005,0.9,0,0,0,0
86,GBPAUDpro,2016.02.12,16:55,2.04372,2.04372,,,,100,0.0005,0.9,0,0,0,0
87,GBPAUDpro,2016.02.12,17:00,2.04583,2.04583,,,,100,0.0005,0.9,0,0,0,0
88,GBPAUDpro,2016.02.12,17:05,2.04586,2.04586,,,,100,0.0005,0.9,0,0,0,0
89,GBPAUDpro,2016.02.12,17:10,2.04588,2.04588,,,,100,0.0005,0.9,0,0,0,0
90,GBPAUDpro,2016.02.12,17:15,2.04507,2.04507,,,,100,0.0005,0.9,0,0,0,0
91,GBPAUDpro,2016.02.12,17:20,2.04387,2.04387,,,,100,0.0005,0.9,0,0,0,0
92,GBPAUDpro,2016.02.12,17:25,2.0456,2.0456,,,,100,0.0005,0.9,0,0,0,0
93,GBPAUDpro,2016.02.12,17:30,2.04712,2.04712,,,,100,0.0005,0.9,0,0,0,0
94,GBPAUDpro,2016.02.12,17:35,2.04783,2.04783,,,,100,0.0005,0.9,0,0,0,0
95,GBPAUDpro,2016.02.12,17:40,2.04816,2.04816,,,,100,0.0005,0.9,0,0,0,0
96,GBPAUDpro,2016.02.12,17:45,2.04876,2.04876,,,,100,0.0005,0.9,0,0,0,0
97,GBPAUDpro,2016.02.12,17:50,2.04805,2.04805,,,,100,0.0005,0.9,0,0,0,0
98,GBPAUDpro,2016.02.12,17:55,2.04716,2.04716,,,,100,0.0005,0.9,0,0,0,0
99,GBPAUDpro,2016.02.12,18:00,2.04744,2.04744,,,,100,0.0005,0.9,0,0,0,0
100,GBPAUDpro,2016.02.12,18:05,2.0476,2.0476,0.981944746719,2.0384524000000006,0.004364977494243524,100,0.0005,0.9,0,0,0,0
101,GBPAUDpro,2016.02.12,18:10,2.04814,2.04814,0.984313701212,2.0385853,0.004439267719893547,100,0.0005,0.9,0,0,0,0
102,GBPAUDpro,2016.02.12,18:15,2.04814,2.04814,0.981353221854,2.0387188,0.004523907821761841,100,0.0005,0.9,0,0,0,0
103,GBPAUDpro,2016.02.12,18:20,2.04728,2.04728,0.966497730568,2.0388571,0.0045985474858696385,100,0.0005,0.9,0,0,0,0
104,GBPAUDpro,2016.02.12,18:25,2.04582,2.04582,0.929098257351,2.0389877999999997,0.004650576933906354,100,0.0005,0.9,0,0,0,0
105,GBPAUDpro,2016.02.12,18:30,2.04566,2.04566,0.919482089003,2.0390903,0.004687298214916088,100,0.0005,0.9,0,0,0,0
106,GBPAUDpro,2016.02.12,18:35,2.04595,2.04595,0.923988865263,2.0391969999999997,0.004714383428520753,100,0.0005,0.9,0,0,0,0
107,GBPAUDpro,2016.02.12,18:40,2.04623,2.04623,0.927876972377,2.0392801000000005,0.004759683270805296,100,0.0005,0.9,0,0,0,0
108,GBPAUDpro,2016.02.12,18:45,2.04593,2.04593,0.913929947851,2.0393673000000003,0.004806573120385888,100,0.0005,0.9,0,0,0,0
109,GBPAUDpro,2016.02.12,18:50,2.04676,2.04676,0.934151070366,2.0394563000000003,0.004845100963182737,100,0.0005,0.9,0,0,0,0
110,GBPAUDpro,2016.02.12,18:55,2.04687,2.04687,0.932722335535,2.0395399999999997,0.004898496780347073,100,0.0005,0.9,0,0,0,0
111,GBPAUDpro,2016.02.12,19:00,2.04702,2.04702,0.932297624743,2.0396283000000004,0.004950493303651152,100,0.0005,0.9,0,0,0,0
112,GBPAUDpro,2016.02.12,19:05,2.04759,2.04759,0.942216917969,2.0397172000000006,0.00500286081389761,100,0.0005,0.9,0,0,0,0
113,GBPAUDpro,2016.02.12,19:10,2.04725,2.04725,0.929082278996,2.0398184,0.005058985349620683,100,0.0005,0.9,0,0,0,0
114,GBPAUDpro,2016.02.12,19:15,2.0473,2.0473,0.925887144012,2.039914200000001,0.0051083564298256764,100,0.0005,0.9,0,0,0,0
115,GBPAUDpro,2016.02.12,19:20,2.04724,2.04724,0.919524850077,2.040014300000001,0.005154283156617006,100,0.0005,0.9,0,0,0,0
116,GBPAUDpro,2016.02.12,19:25,2.04709,2.04709,0.910217323432,2.040124500000001,0.005190021968190785,100,0.0005,0.9,0,0,0,0
117,GBPAUDpro,2016.02.12,19:30,2.04666,2.04666,0.89087475486,2.0402239000000004,0.005227529090683218,100,0.0005,0.9,0,0,0,0
118,GBPAUDpro,2016.02.12,19:35,2.04638,2.04638,0.875442562496,2.0403366000000003,0.005243722214864798,100,0.0005,0.9,0,0,0,0
119,GBPAUDpro,2016.02.12,19:40,2.04609,2.04609,0.85863893784,2.0404525,0.005247972456005256,100,0.0005,0.9,0,0,0,0
